ExerciseKey,ContentId,Instruction,NotesToRead,AllAnswers,PossibleAnswers,CorrectAnswer
stammtoene_violin_efg_lesen,1,"Bezeichne die Note","X:5 % L:4/4 % K:C % E","c,d,e,f,g,a,h","e,f,g","e"
stammtoene_violin_efg_lesen,2,"Bezeichne die Note","X:5 % L:4/4 % K:C % F","c,d,e,f,g,a,h","e,f,g","f"
stammtoene_violin_efg_lesen,3,"Bezeichne die Note","X:5 % L:4/4 % K:C % G","c,d,e,f,g,a,h","e,f,g","g"
stammtoene_violin_efg_schreiben,1,"Markiere die Note: e","","","","e"
stammtoene_violin_efg_schreiben,2,"Markiere die Note: f","","","","f"
stammtoene_violin_efg_schreiben,3,"Markiere die Note: g","","","","g"
stammtoene_violin_c_bis_g_lesen,1,"Bezeichne die Note","X:5 % L:4/4 % K:C % C","c,d,e,f,g,a,h","c,d,e,f,g","c"
stammtoene_violin_c_bis_g_lesen,2,"Bezeichne die Note","X:5 % L:4/4 % K:C % D","c,d,e,f,g,a,h","c,d,e,f,g","d"
stammtoene_violin_c_bis_g_lesen,3,"Bezeichne die Note","X:5 % L:4/4 % K:C % E","c,d,e,f,g,a,h","c,d,e,f,g","e"
stammtoene_violin_c_bis_g_lesen,4,"Bezeichne die Note","X:5 % L:4/4 % K:C % F","c,d,e,f,g,a,h","c,d,e,f,g","f"
stammtoene_violin_c_bis_g_lesen,5,"Bezeichne die Note","X:5 % L:4/4 % K:C % G","c,d,e,f,g,a,h","c,d,e,f,g","g"
stammtoene_violin_c_bis_g_schreiben,1,"Markiere die Note: c","","","","c"
stammtoene_violin_c_bis_g_schreiben,2,"Markiere die Note: d","","","","d"
stammtoene_violin_c_bis_g_schreiben,3,"Markiere die Note: e","","","","e"
stammtoene_violin_c_bis_g_schreiben,4,"Markiere die Note: f","","","","f"
stammtoene_violin_c_bis_g_schreiben,5,"Markiere die Note: g","","","","g"
stammtoene_violin_gahc_lesen,1,"Bezeichne die Note","X:5 % L:4/4 % K:C % G","c,d,e,f,g,a,h","g,a,h,c","g"
stammtoene_violin_gahc_lesen,2,"Bezeichne die Note","X:5 % L:4/4 % K:C % A","c,d,e,f,g,a,h","g,a,h,c","a"
stammtoene_violin_gahc_lesen,3,"Bezeichne die Note","X:5 % L:4/4 % K:C % B","c,d,e,f,g,a,h","g,a,h,c","h"
stammtoene_violin_gahc_lesen,4,"Bezeichne die Note","X:5 % L:4/4 % K:C % c","c,d,e,f,g,a,h","g,a,h,c","c"
stammtoene_violin_gahc_schreiben,1,"Markiere die Note: g","","","","g"
stammtoene_violin_gahc_schreiben,2,"Markiere die Note: a","","","","a"
stammtoene_violin_gahc_schreiben,3,"Markiere die Note: h","","","","h"
stammtoene_violin_gahc_schreiben,4,"Markiere die Note: c","","","","c"
stammtoene_violin_alle_lesen,1,"Bezeichne die Note","X:5 % L:4/4 % K:C % C","c,d,e,f,g,a,h","c,d,e,f,g,a,h","c"
stammtoene_violin_alle_lesen,2,"Bezeichne die Note","X:5 % L:4/4 % K:C % D","c,d,e,f,g,a,h","c,d,e,f,g,a,h","d"
stammtoene_violin_alle_lesen,3,"Bezeichne die Note","X:5 % L:4/4 % K:C % E","c,d,e,f,g,a,h","c,d,e,f,g,a,h","e"
stammtoene_violin_alle_lesen,4,"Bezeichne die Note","X:5 % L:4/4 % K:C % F","c,d,e,f,g,a,h","c,d,e,f,g,a,h","f"
stammtoene_violin_alle_lesen,5,"Bezeichne die Note","X:5 % L:4/4 % K:C % G","c,d,e,f,g,a,h","c,d,e,f,g,a,h","g"
stammtoene_violin_alle_lesen,6,"Bezeichne die Note","X:5 % L:4/4 % K:C % A","c,d,e,f,g,a,h","c,d,e,f,g,a,h","a"
stammtoene_violin_alle_lesen,7,"Bezeichne die Note","X:5 % L:4/4 % K:C % B","c,d,e,f,g,a,h","c,d,e,f,g,a,h","h"
stammtoene_violin_alle_schreiben,1,"Markiere die Note: c","","","","c"
stammtoene_violin_alle_schreiben,2,"Markiere die Note: d","","","","d"
stammtoene_violin_alle_schreiben,3,"Markiere die Note: e","","","","e"
stammtoene_violin_alle_schreiben,4,"Markiere die Note: f","","","","f"
stammtoene_violin_alle_schreiben,5,"Markiere die Note: g","","","","g"
stammtoene_violin_alle_schreiben,6,"Markiere die Note: a","","","","a"
stammtoene_violin_alle_schreiben,7,"Markiere die Note: h","","","","h"
intervalle_basis_prime_bis_quinte_lesen,1,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CE]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte","Terz"
intervalle_basis_prime_bis_quinte_lesen,2,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [EA]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte","Quarte"
intervalle_basis_prime_bis_quinte_lesen,3,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [FF]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte","Prime"
intervalle_basis_prime_bis_quinte_lesen,4,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [Gd]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte","Quinte"
intervalle_basis_prime_bis_quinte_lesen,5,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CD]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte","Sekunde"
intervalle_basis_prime_bis_quinte_schreiben,1,"Schreibe das Intervall: Prime","","","","Prime"
intervalle_basis_prime_bis_quinte_schreiben,1,"Schreibe das Intervall: Sekunde","","","","Sekunde"
intervalle_basis_prime_bis_quinte_schreiben,1,"Schreibe das Intervall: Terz","","","","Terz"
intervalle_basis_prime_bis_quinte_schreiben,1,"Schreibe das Intervall: Quarte","","","","Quarte"
intervalle_basis_prime_bis_quinte_schreiben,1,"Schreibe das Intervall: Quinte","","","","Quinte"
intervalle_basis_sexte_bis_oktave_lesen,1,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CA]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Sexte,Septime,Oktave","Sexte"
intervalle_basis_sexte_bis_oktave_lesen,2,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [Dc]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Sexte,Septime,Oktave","Septime"
intervalle_basis_sexte_bis_oktave_lesen,3,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [Ee]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Sexte,Septime,Oktave","Oktave"
intervalle_basis_sexte_bis_oktave_schreiben,1,"Schreibe das Intervall: Sexte","","","","Sexte"
intervalle_basis_sexte_bis_oktave_schreiben,2,"Schreibe das Intervall: Septime","","","","Septime"
intervalle_basis_sexte_bis_oktave_schreiben,3,"Schreibe das Intervall: Oktave","","","","Oktave"
intervalle_basis_alle_lesen,1,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CC]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime"
intervalle_basis_alle_lesen,2,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CD]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Sekunde"
intervalle_basis_alle_lesen,3,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CE]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Terz"
intervalle_basis_alle_lesen,4,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CF]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Quarte"
intervalle_basis_alle_lesen,5,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CG]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Quinte"
intervalle_basis_alle_lesen,6,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CA]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Sexte"
intervalle_basis_alle_lesen,7,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [CB]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Septime"
intervalle_basis_alle_lesen,8,"Wie ist der Name dieses Intervalls?","X:6 % L:2/4 % K:C % [Cc]2","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Prime,Sekunde,Terz,Quarte,Quinte,Sexte,Septime,Oktave","Oktave"
intervalle_basis_alle_schreiben,1,"Schreibe das Intervall: Prime","","","","Prime"
intervalle_basis_alle_schreiben,2,"Schreibe das Intervall: Sekunde","","","","Sekunde"
intervalle_basis_alle_schreiben,3,"Schreibe das Intervall: Terz","","","","Terz"
intervalle_basis_alle_schreiben,4,"Schreibe das Intervall: Quarte","","","","Quarte"
intervalle_basis_alle_schreiben,5,"Schreibe das Intervall: Quinte","","","","Quinte"
intervalle_basis_alle_schreiben,6,"Schreibe das Intervall: Sexte","","","","Sexte"
intervalle_basis_alle_schreiben,7,"Schreibe das Intervall: Septime","","","","Septime"
intervalle_basis_alle_schreiben,8,"Schreibe das Intervall: Oktave","","","","Oktave"
tonleitern_dur_natuerlich_moll,1,"Ist diese Tonleiter Dur oder Moll?","X:5 % L:1/4 % K:C % C D E F G A B c","Dur,Moll","Dur,Moll","Dur"
tonleitern_dur_natuerlich_moll,2,"Ist diese Tonleiter Dur oder Moll?","X:5 % L:1/4 % K:A % A B c d e f g a","Dur,Moll","Dur,Moll","Moll"
tonleitern_dur_moll,1,"Ist diese Tonleiter Dur oder Moll?","X:5 % L:1/4 % K:C % C D E F G A B c","Dur,Moll","Dur,Moll","Dur"
tonleitern_dur_moll,2,"Ist diese Tonleiter Dur oder Moll?","X:5 % L:1/4 % K:A % A B c d e f g a","Dur,Moll","Dur,Moll","Moll"
tonleitern_dur_moll_natuerlich_moll,1,"Ist diese Tonleiter Dur oder Moll?","X:5 % L:1/4 % K:C % C D E F G A B c","Dur,Moll","Dur,Moll","Dur"
tonleitern_dur_moll_natuerlich_moll,2,"Ist diese Tonleiter Dur oder Moll?","X:5 % L:1/4 % K:A % A B c d e f g a","Dur,Moll","Dur,Moll","Moll"
versetzungszeichen_violin_kreuz_cis_dis_fis,1,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^c","cis,dis,fis","cis,dis,fis","cis"
versetzungszeichen_violin_kreuz_cis_dis_fis,2,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^d","cis,dis,fis","cis,dis,fis","dis"
versetzungszeichen_violin_kreuz_cis_dis_fis,3,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^f","cis,dis,fis","cis,dis,fis","fis"
versetzungszeichen_violin_kreuz_cis_dis_fis,4,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^C","cis,dis,fis","cis,dis,fis","cis"
versetzungszeichen_violin_kreuz_cis_dis_fis,5,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^D","cis,dis,fis","cis,dis,fis","dis"
versetzungszeichen_violin_kreuz_cis_dis_fis,6,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^F","cis,dis,fis","cis,dis,fis","fis"
versetzungszeichen_violin_b_des_es_ges,1,"Bezeichne die Note","X:1 % L:4/4 % K:C % _d","des,es,ges","des,es,ges","des"
versetzungszeichen_violin_b_des_es_ges,2,"Bezeichne die Note","X:1 % L:4/4 % K:C % _e","des,es,ges","des,es,ges","es"
versetzungszeichen_violin_b_des_es_ges,3,"Bezeichne die Note","X:1 % L:4/4 % K:C % _g","des,es,ges","des,es,ges","ges"
versetzungszeichen_violin_b_des_es_ges,4,"Bezeichne die Note","X:1 % L:4/4 % K:C % _D","des,es,ges","des,es,ges","des"
versetzungszeichen_violin_b_des_es_ges,5,"Bezeichne die Note","X:1 % L:4/4 % K:C % _E","des,es,ges","des,es,ges","es"
versetzungszeichen_violin_b_des_es_ges,6,"Bezeichne die Note","X:1 % L:4/4 % K:C % _G","des,es,ges","des,es,ges","ges"
versetzungszeichen_violin_b_des_es_ges,7,"Bezeichne die Note","X:1 % L:4/4 % K:C % _d'","des,es,ges","des,es,ges","des"
versetzungszeichen_violin_b_des_es_ges,8,"Bezeichne die Note","X:1 % L:4/4 % K:C % _e'","des,es,ges","des,es,ges","es"
versetzungszeichen_violin_alle_kreuz,1,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^C","cis,dis,eis,fis,gis,ais,his","cis,dis,eis,fis,gis,ais,his","cis"
versetzungszeichen_violin_alle_kreuz,2,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^F","cis,dis,eis,fis,gis,ais,his","cis,dis,eis,fis,gis,ais,his","fis"
versetzungszeichen_violin_alle_kreuz,3,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^D","cis,dis,eis,fis,gis,ais,his","cis,dis,eis,fis,gis,ais,his","dis"
versetzungszeichen_violin_alle_kreuz,4,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^E","cis,dis,eis,fis,gis,ais,his","cis,dis,eis,fis,gis,ais,his","eis"
versetzungszeichen_violin_alle_kreuz,5,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^G","cis,dis,eis,fis,gis,ais,his","cis,dis,eis,fis,gis,ais,his","gis"
versetzungszeichen_violin_alle_kreuz,6,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^A","cis,dis,eis,fis,gis,ais,his","cis,dis,eis,fis,gis,ais,his","ais"
versetzungszeichen_violin_alle_kreuz,7,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^B","cis,dis,eis,fis,gis,ais,his","cis,dis,eis,fis,gis,ais,his","his"
versetzungszeichen_violin_alle_b,1,"Bezeichne die Note","X:1 % L:4/4 % K:C % _E","ces,des,es,fes,ges,as,b","ces,des,es,fes,ges,as,b","es"
versetzungszeichen_violin_alle_b,2,"Bezeichne die Note","X:1 % L:4/4 % K:C % _A","ces,des,es,fes,ges,as,b","ces,des,es,fes,ges,as,b","as"
versetzungszeichen_violin_alle_b,3,"Bezeichne die Note","X:1 % L:4/4 % K:C % _D","ces,des,es,fes,ges,as,b","ces,des,es,fes,ges,as,b","des"
versetzungszeichen_violin_alle_b,4,"Bezeichne die Note","X:1 % L:4/4 % K:C % _B","ces,des,es,fes,ges,as,b","ces,des,es,fes,ges,as,b","b"
versetzungszeichen_violin_alle_b,5,"Bezeichne die Note","X:1 % L:4/4 % K:C % _G","ces,des,es,fes,ges,as,b","ces,des,es,fes,ges,as,b","ges"
versetzungszeichen_violin_alle_b,6,"Bezeichne die Note","X:1 % L:4/4 % K:C % _C","ces,des,es,fes,ges,as,b","ces,des,es,fes,ges,as,b","ces"
versetzungszeichen_violin_alle_b,7,"Bezeichne die Note","X:1 % L:4/4 % K:C % _F","ces,des,es,fes,ges,as,b","ces,des,es,fes,ges,as,b","fes"
versetzungszeichen_violin_alle_mit_oktaven,1,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^G","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis"
versetzungszeichen_violin_alle_mit_oktaven,2,"Bezeichne die Note","X:1 % L:4/4 % K:C % _e","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","es'"
versetzungszeichen_violin_alle_mit_oktaven,3,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^c'","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","cis''"
versetzungszeichen_violin_alle_mit_oktaven,4,"Bezeichne die Note","X:1 % L:4/4 % K:C % _A,","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","As"
versetzungszeichen_violin_alle_mit_oktaven,5,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^f","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","fis'"
versetzungszeichen_violin_alle_mit_oktaven,6,"Bezeichne die Note","X:1 % L:4/4 % K:C % _D","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","des"
versetzungszeichen_violin_alle_mit_oktaven,7,"Bezeichne die Note","X:1 % L:4/4 % K:C % _b","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","b'"
versetzungszeichen_violin_alle_mit_oktaven,8,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^E","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","eis"
versetzungszeichen_violin_alle_mit_oktaven,9,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^B","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","his"
versetzungszeichen_violin_alle_mit_oktaven,10,"Bezeichne die Note","X:1 % L:4/4 % K:C % _g'","gis,es',cis'',As,fis',des,b',eis,his,ges''","gis,es',cis'',As,fis',des,b',eis,his,ges''","ges''"
hilfslinien_violin_kleine_oktave,1,"Bezeichne die Note","X:1 % L:4/4 % K:C % C,","c,d,e,f,g,a,h,cis,es,fis,b","c,d,e,f,g,a,h,cis,es,fis,b","c"
hilfslinien_violin_kleine_oktave,2,"Bezeichne die Note","X:1 % L:4/4 % K:C % E,","c,d,e,f,g,a,h,cis,es,fis,b","c,d,e,f,g,a,h,cis,es,fis,b","e"
hilfslinien_violin_kleine_oktave,3,"Bezeichne die Note","X:1 % L:4/4 % K:C % G,","c,d,e,f,g,a,h,cis,es,fis,b","c,d,e,f,g,a,h,cis,es,fis,b","g"
hilfslinien_violin_kleine_oktave,4,"Bezeichne die Note","X:1 % L:4/4 % K:C % B,","c,d,e,f,g,a,h,cis,es,fis,b","c,d,e,f,g,a,h,cis,es,fis,b","h"
hilfslinien_violin_kleine_oktave,5,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^C,","c,d,e,f,g,a,h,cis,es,fis,b","c,d,e,f,g,a,h,cis,es,fis,b","cis"
hilfslinien_violin_kleine_oktave,6,"Bezeichne die Note","X:1 % L:4/4 % K:C % _E,","c,d,e,f,g,a,h,cis,es,fis,b","c,d,e,f,g,a,h,cis,es,fis,b","es"
hilfslinien_violin_kleine_oktave,7,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^F,","c,d,e,f,g,a,h,cis,es,fis,b","c,d,e,f,g,a,h,cis,es,fis,b","fis"
hilfslinien_violin_kleine_oktave,8,"Bezeichne die Note","X:1 % L:4/4 % K:C % _B,","c,d,e,f,g,a,h,cis,es,fis,b","c,d,e,f,g,a,h,cis,es,fis,b","b"
hilfslinien_violin_eingestrichene_oktave,1,"Bezeichne die Note","X:1 % L:4/4 % K:C % C","c',d',e',f',g',a',h',cis',es',fis',b'","c',d',e',f',g',a',h',cis',es',fis',b'","c'"
hilfslinien_violin_eingestrichene_oktave,2,"Bezeichne die Note","X:1 % L:4/4 % K:C % E","c',d',e',f',g',a',h',cis',es',fis',b'","c',d',e',f',g',a',h',cis',es',fis',b'","e'"
hilfslinien_violin_eingestrichene_oktave,3,"Bezeichne die Note","X:1 % L:4/4 % K:C % G","c',d',e',f',g',a',h',cis',es',fis',b'","c',d',e',f',g',a',h',cis',es',fis',b'","g'"
hilfslinien_violin_eingestrichene_oktave,4,"Bezeichne die Note","X:1 % L:4/4 % K:C % B","c',d',e',f',g',a',h',cis',es',fis',b'","c',d',e',f',g',a',h',cis',es',fis',b'","h'"
hilfslinien_violin_eingestrichene_oktave,5,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^C","c',d',e',f',g',a',h',cis',es',fis',b'","c',d',e',f',g',a',h',cis',es',fis',b'","cis'"
hilfslinien_violin_eingestrichene_oktave,6,"Bezeichne die Note","X:1 % L:4/4 % K:C % _E","c',d',e',f',g',a',h',cis',es',fis',b'","c',d',e',f',g',a',h',cis',es',fis',b'","es'"
hilfslinien_violin_eingestrichene_oktave,7,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^F","c',d',e',f',g',a',h',cis',es',fis',b'","c',d',e',f',g',a',h',cis',es',fis',b'","fis'"
hilfslinien_violin_eingestrichene_oktave,8,"Bezeichne die Note","X:1 % L:4/4 % K:C % _B","c',d',e',f',g',a',h',cis',es',fis',b'","c',d',e',f',g',a',h',cis',es',fis',b'","b'"
hilfslinien_violin_zweigestrichene_oktave,1,"Bezeichne die Note","X:1 % L:4/4 % K:C % c","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","c''"
hilfslinien_violin_zweigestrichene_oktave,2,"Bezeichne die Note","X:1 % L:4/4 % K:C % e","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","e''"
hilfslinien_violin_zweigestrichene_oktave,3,"Bezeichne die Note","X:1 % L:4/4 % K:C % g","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","g''"
hilfslinien_violin_zweigestrichene_oktave,4,"Bezeichne die Note","X:1 % L:4/4 % K:C % b","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","h''"
hilfslinien_violin_zweigestrichene_oktave,5,"Bezeichne die Note","X:1 % L:4/4 % K:C % ^c","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","c'',d'',e'',f'',g'',a'',h'',cis'',es'',fis'',b''","cis''"
